"ft_dem","ft_rep","race","income","sex","white","black","hispanic","other","vote_obama"
85,15,2,7,1,0,1,0,0,1
85,50,2,2,1,0,1,0,0,1
100,0,2,13,1,0,1,0,0,1
100,50,2,13,1,0,1,0,0,1
70,0,2,11,1,0,1,0,0,1
60,30,2,1,0,0,1,0,0,1
60,30,2,1,1,0,1,0,0,1
85,30,2,12,1,0,1,0,0,1
85,50,4,7,1,0,0,0,1,1
85,30,2,7,0,0,1,0,0,1
70,70,1,17,1,1,0,0,0,0
40,70,1,15,1,1,0,0,0,0
60,100,2,3,0,0,1,0,0,0
30,50,2,2,1,0,1,0,0,1
70,40,2,21,1,0,1,0,0,1
30,40,4,9,1,0,0,0,1,1
100,0,2,14,0,0,1,0,0,1
50,15,1,4,0,1,0,0,0,1
50,50,1,12,1,1,0,0,0,1
50,70,1,3,1,1,0,0,0,0
100,0,1,24,1,1,0,0,0,1
70,15,1,27,1,1,0,0,0,1
50,60,1,12,1,1,0,0,0,0
50,50,1,12,0,1,0,0,0,0
100,0,1,13,0,1,0,0,0,1
30,70,1,2,0,1,0,0,0,0
70,70,1,13,0,1,0,0,0,0
0,100,1,7,1,1,0,0,0,0
85,15,1,13,0,1,0,0,0,1
100,0,1,12,1,1,0,0,0,1
50,50,1,8,1,1,0,0,0,1
100,50,1,19,1,1,0,0,0,1
85,0,4,10,1,0,0,0,1,1
100,0,2,10,0,0,1,0,0,1
50,0,3,9,0,0,0,1,0,1
70,0,1,21,1,1,0,0,0,1
60,0,1,17,1,1,0,0,0,1
70,30,1,23,0,1,0,0,0,1
50,50,1,23,1,1,0,0,0,0
85,30,1,12,1,1,0,0,0,1
85,60,2,17,1,0,1,0,0,1
60,30,1,13,1,1,0,0,0,1
85,0,1,12,0,1,0,0,0,1
100,40,2,5,1,0,1,0,0,1
85,30,2,9,1,0,1,0,0,1
100,0,2,23,1,0,1,0,0,1
90,0,2,13,1,0,1,0,0,1
70,0,2,9,0,0,1,0,0,1
30,70,1,9,0,1,0,0,0,0
85,30,1,7,1,1,0,0,0,1
85,40,1,4,0,1,0,0,0,1
70,40,1,11,0,1,0,0,0,1
50,85,1,15,0,1,0,0,0,0
0,85,1,11,0,1,0,0,0,0
60,85,1,9,0,1,0,0,0,0
15,85,1,16,0,1,0,0,0,0
85,50,4,8,0,0,0,0,1,1
70,40,4,3,1,0,0,0,1,1
30,70,1,21,1,1,0,0,0,0
86,15,1,4,0,1,0,0,0,1
70,30,1,5,0,1,0,0,0,1
30,100,1,13,1,1,0,0,0,0
15,70,1,20,0,1,0,0,0,0
50,50,1,5,1,1,0,0,0,0
50,50,1,9,1,1,0,0,0,1
0,90,1,15,1,1,0,0,0,0
15,85,1,13,1,1,0,0,0,0
-8,85,1,13,1,1,0,0,0,0
85,30,1,19,0,1,0,0,0,1
40,60,1,23,0,1,0,0,0,0
30,70,1,1,1,1,0,0,0,0
60,60,1,21,1,1,0,0,0,0
85,0,2,19,0,0,1,0,0,1
70,15,2,27,0,0,1,0,0,1
85,60,3,17,0,0,0,1,0,0
85,0,2,21,1,0,1,0,0,1
100,30,2,12,1,0,1,0,0,1
70,30,2,13,1,0,1,0,0,1
70,0,2,18,1,0,1,0,0,1
50,100,2,17,0,0,1,0,0,0
85,0,2,22,0,0,1,0,0,1
85,50,2,26,0,0,1,0,0,1
50,15,1,3,0,1,0,0,0,1
70,30,3,13,0,0,0,1,0,1
15,85,1,4,0,1,0,0,0,0
50,85,1,7,0,1,0,0,0,0
0,15,1,23,0,1,0,0,0,0
50,50,1,20,1,1,0,0,0,1
70,30,2,13,0,0,1,0,0,1
60,40,2,28,0,0,1,0,0,1
40,70,1,1,1,1,0,0,0,0
80,20,1,6,1,1,0,0,0,1
40,30,1,28,0,1,0,0,0,0
30,70,1,28,1,1,0,0,0,0
30,20,1,15,0,1,0,0,0,1
85,60,1,13,1,1,0,0,0,1
70,40,4,11,0,0,0,0,1,1
70,60,2,5,0,0,1,0,0,1
60,50,1,1,0,1,0,0,0,1
60,30,2,7,0,0,1,0,0,1
50,100,2,7,0,0,1,0,0,0
100,40,4,13,1,0,0,0,1,1
65,90,1,6,1,1,0,0,0,0
100,0,4,3,1,0,0,0,1,1
70,60,1,15,1,1,0,0,0,1
100,50,4,1,1,0,0,0,1,1
85,85,2,4,1,0,1,0,0,1
85,15,2,13,1,0,1,0,0,1
60,40,4,2,1,0,0,0,1,1
70,60,1,7,1,1,0,0,0,1
70,30,2,7,1,0,1,0,0,1
50,50,2,23,1,0,1,0,0,1
100,0,2,21,0,0,1,0,0,1
100,0,2,3,1,0,1,0,0,1
0,0,4,3,0,0,0,0,1,1
100,0,2,4,1,0,1,0,0,1
100,60,4,1,1,0,0,0,1,1
50,50,2,24,1,0,1,0,0,1
100,40,2,10,1,0,1,0,0,1
85,30,2,17,0,0,1,0,0,1
100,0,2,21,1,0,1,0,0,1
100,40,2,3,1,0,1,0,0,1
100,0,2,11,1,0,1,0,0,1
100,0,2,7,1,0,1,0,0,1
85,15,2,11,0,0,1,0,0,1
85,30,2,18,0,0,1,0,0,1
75,50,2,2,0,0,1,0,0,1
85,15,3,10,0,0,0,1,0,1
100,0,2,7,1,0,1,0,0,1
85,70,2,1,1,0,1,0,0,1
85,15,2,21,0,0,1,0,0,1
90,15,2,21,0,0,1,0,0,1
100,0,2,6,1,0,1,0,0,1
70,50,2,12,1,0,1,0,0,1
100,50,2,6,1,0,1,0,0,1
100,50,2,18,1,0,1,0,0,1
100,50,2,4,1,0,1,0,0,1
